Product_SKU,Product_Description,Product_Category,Avg_Price,Total_Sales_Generated,Avg_Sales_Generated,Customers_purchased,Customer%,Prob_of_Coupon_Usage
GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,150.97105769230768,672908.76,196.068986013986,935,70.0,0.85
GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,79.8488148721921,203877.78,157.9223702556158,614,46.0,0.85
GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,121.88104968944099,607993.65,188.8179037267081,920,69.0,0.84
GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,120.22992371265099,514621.69,163.57968531468532,930,70.0,0.84
GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,79.75805283757339,204553.85,200.15053816046967,548,41.0,0.86
GGOENEBD084799,Nest Learning Thermostat 3rd Gen-USA - Copper,Nest-USA,149.5639686684073,68813.6,179.66997389033943,274,20.0,0.85
GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,149.6473822975518,199133.24,187.50775894538606,528,39.0,0.85
GGOENEBB079299,Nest Protect Smoke + CO Black Battery Alarm-USA,Nest-USA,82.97058823529412,2440.0,143.52941176470588,16,1.0,1.0
GGOENEBB079399,Nest Protect Smoke + CO Black Wired Alarm-USA,Nest-USA,93.27166666666666,2512.39,139.57722222222222,18,1.0,0.67
GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,Office,2.512274809160305,12791.86,19.529557251908397,423,32.0,0.85
GGOEGFKQ020799,Google Doodle Decal,Office,2.623682008368201,3388.6,14.178242677824267,200,15.0,0.83
GGOEYFKQ020699,YouTube Custom Decals,Office,1.3858892128279883,2213.51,6.4533819241982515,266,20.0,0.84
GGOEYOLR018699,YouTube Leatherette Notebook Combo,Office,6.266504854368932,8028.43,77.94592233009709,88,7.0,0.85
GGOEGOLC014299,Google Metallic Notebook Set,Office,5.241683168316832,30244.14,99.81564356435644,210,16.0,0.86
GGOEAFKQ020599,Android Sticker Sheet Ultra Removable,Office,2.6877500000000003,1400.59,8.7536875,131,10.0,0.86
GGOEGOAQ012899,Ballpoint LED Light Pen,Office,2.2593953488372094,8235.35,38.303953488372095,175,13.0,0.84
GGOEGOCT019199,Red Spiral Google Notebook,Office,8.654545454545456,7225.57,109.47833333333332,58,4.0,0.85
GGOEGKAA019299,Switch Tone Color Crayon Pen,Office,1.733809523809524,1372.66,13.072952380952382,91,7.0,0.79
GGOEGOAQ020099,Four Color Retractable Pen,Office,2.6705882352941175,9536.02,37.3961568627451,205,15.0,0.82
GGOEGOXQ016399,Badge Holder,Office,1.8803157894736842,3622.41,19.065315789473683,154,12.0,0.87
GGOEGOAA017199,Rubber Grip Ballpoint Pen 4 Pack,Office,4.115,2422.1,30.276249999999997,72,5.0,0.86
GGOEYOLR080599,YouTube Notebook and Pen Set,Office,5.91423076923077,1603.79,61.684230769230766,26,2.0,0.88
GGOEGGOA017399,Maze Pen,Office,0.9114930555555555,11312.31,39.27885416666666,223,17.0,0.81
GGOEGOAR021999,Color Changing Grip Pen,Office,1.358103448275862,1471.23,25.36603448275862,55,4.0,0.84
GGOEGOBG023599,Colored Pencil Set,Office,2.9039655172413794,1748.05,15.069396551724138,99,7.0,0.84
GGOEGOLC013299,Spiral Notebook and Pen Set,Office,4.718888888888889,10674.33,107.82151515151516,86,6.0,0.89
GGOEGOAB022499,Satin Black Ballpoint Pen,Office,15.018225806451612,1985.9099999999999,32.030806451612904,55,4.0,0.87
GGOEGOAQ018099,Pen Pencil & Highlighter Set,Office,3.6597647058823526,4501.88,52.96329411764706,78,6.0,0.84
GGOEGFKA022299,Keyboard DOT Sticker,Office,1.3595238095238096,2908.6,19.78639455782313,130,10.0,0.86
GGOEAFKQ020499,8 pc Android Sticker Sheet,Office,1.8177348066298342,2369.27,13.08988950276243,161,12.0,0.82
GGOEGOCC017599,Recycled Paper Journal Set,Office,3.7723404255319153,5719.91,60.85010638297872,83,6.0,0.88
GGOEGOCR017899,Recycled Paper Journal Set,Office,3.536614173228347,9098.72,71.64346456692913,106,8.0,0.83
GGOEGOAA017099,Ballpoint Stick Pen 4 Pack,Office,3.975925925925926,2703.17,33.37246913580247,68,5.0,0.88
GGOEGOAR013099,Google Stylus Pen w/ LED Light,Office,5.162167832167833,7490.28,52.37958041958042,116,9.0,0.84
GGOEGOFH020299,Galaxy Screen Cleaning Cloth,Office,1.8444827586206896,3129.41,35.97022988505747,75,6.0,0.85
GGOEGOAJ021599,Gunmetal Roller Ball Pen,Office,10.6009375,1365.8,42.68125,28,2.0,0.84
GGOEGOCB017499,Leatherette Journal,Office,8.099705882352941,21538.78,126.69870588235294,136,10.0,0.88
GGOEGOCL087799,Google Large Standard Journal Navy,Office,13.524647887323944,13047.41,183.766338028169,55,4.0,0.87
GGOEGOAB021499,Metal Texture Roller Pen,Office,12.022448979591838,2997.67,61.17693877551021,42,3.0,0.88
GGOEGOAB016099,Leather and Metal Ballpoint Pen,Office,12.49653846153846,2417.28,92.9723076923077,24,2.0,0.92
GGOEGOAB021699,Google Ballpoint Pen Black,Office,1.8234782608695652,1558.76,33.88608695652174,43,3.0,0.85
GGOEGOGA016299,Grip Highlighter Pen 3 Pack,Office,3.386190476190476,367.21000000000004,17.48619047619048,18,1.0,1.0
GGOEGOAR021899,Retractable Ballpoint Pen Red,Office,1.151851851851852,1047.82,38.80814814814815,27,2.0,0.96
GGOEGOAQ015999,Gel Roller Pen,Office,3.1968965517241377,1721.2800000000002,59.3544827586207,26,2.0,0.93
GGOEGOAR013599,Ballpoint Stylus Pen,Office,4.348461538461539,1518.8700000000001,58.418076923076924,23,2.0,0.88
GGOEGOAC021799,Ballpoint Pen Blue,Office,0.8984057971014493,2730.25,39.56884057971015,64,5.0,0.88
GGOEGOAB015899,Rainbow Stylus Pen,Office,1.4527777777777777,1005.85,27.94027777777778,34,3.0,0.83
GGOEAOCH014199,Android Journal Book Set,Office,7.836500000000001,1044.91,52.24550000000001,20,1.0,0.7
